id,Lon,Lat,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Moho_Lloyd_Aus17_Afr,Moho_AN1_Shen_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Sus_Lloyd_Aus17_Afr,Sus_AN1_Shen_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography
118644,99.262673,25.5,-32.01809859,-0.012722869,-0.481754309,67.40619574,67.40619574,67.40619574,67.40619574,40.25223566,40.25223566,40.25223566,40.25223566,40.25223566,40.25223566,2345.070367,3,1185.304152,69.9188838,351.2956383,205.5352684,100.178017,23741.57823,0.011787286,0.011864953,0.011864953,0.011864953,0.011864953,0.011864953,-42.53385902,3.568553035,27.0158286,1839.400304,0
118645,99.815668,25.5,-33.23042523,-0.012962546,-0.512846793,66.87543642,66.87543642,66.87543642,66.87543642,40.57453935,40.57453935,40.57453935,40.57453935,40.57453935,40.57453935,1911.335238,3,1201.101376,49.23919841,392.9797114,259.3248589,147.3053548,10.84815917,0.011695133,0.011798196,0.011798196,0.011798196,0.011798196,0.011798196,-13.14430956,2.343048778,27.53208387,1840.672151,0
118646,100.36866,25.5,-31.41333844,-0.011029374,-0.544032751,65.43708006,65.43708006,65.43708006,65.43708006,41.47591479,41.47591479,41.47591479,41.47591479,41.47591479,41.47591479,2377.722398,3,1218.79712,33.7167142,437.4402648,313.849865,198.3179351,8.914230794,0.013999783,0.014074693,0.014074693,0.014074693,0.014074693,0.014074693,0.652431369,1.39064852,28.36282571,1842.660749,0
118647,100.92166,25.5,-28.08148359,-0.008162882,-0.59718719,64.97037197,64.97037197,64.97037197,64.97037197,43.38928952,43.38928952,43.38928952,43.38928952,43.38928952,43.38928952,2040.445801,3,1240.28806,63.62365131,484.6422643,368.7973264,251.2740517,3.481934565,0.004790926,0.004796528,0.004796528,0.004796528,0.004796528,0.004796528,4.54676185,0.645965406,29.35082823,1842.879196,0
118648,101.47465,25.5,-21.54205141,-0.005951409,-0.643071158,64.80632541,64.80632541,64.80632541,64.80632541,45.61784065,45.61784065,45.61784065,45.61784065,45.61784065,45.61784065,2333.7835,3,1262.96065,107.6803625,532.6971088,423.8751337,305.4144016,-3.039917774,0.012813928,0.012768526,0.012768526,0.012768526,0.012768526,0.012768526,1.696540239,0.028530284,30.32176248,1842.546268,0
118649,102.02765,25.5,-15.33381606,-0.005677326,-0.569116151,65.85819932,65.85819932,65.85819932,65.85819932,46.25292684,46.25292684,46.25292684,46.25292684,46.25292684,46.25292684,2425.838501,2.98963125,1288.79955,147.2686753,582.7051015,479.16501,359.7767164,1.024184425,0.011870174,0.011767846,0.011767846,0.011767846,0.011767846,0.011767846,-13.68714188,-0.530688129,31.3225095,1843.568335,0
118650,102.58065,25.5,-25.47961405,-0.007321012,-0.5266984,67.13090258,67.13090258,67.13090258,67.13090258,46.57757109,46.57757109,46.57757109,46.57757109,46.57757109,46.57757109,1837.9065,2.78225625,1315.27445,187.2471499,633.00045,534.4730874,414.6210415,4.670495179,0.009981187,0.009933389,0.009933389,0.009933389,0.009933389,0.009933389,-26.20020481,-1.07739317,32.942835,1844.404691,0
118651,103.13364,25.5,-32.68639368,-0.009568614,-0.54189987,69.3547812,69.3547812,69.3547812,69.3547812,45.53242033,45.53242033,45.53242033,45.53242033,45.53242033,45.53242033,2001.448,2.574885,1344.58292,230.7674696,684.42852,589.8273729,469.5218412,2.891224226,0.010333791,0.010292614,0.010292614,0.010292614,0.010292614,0.010292614,-20.63193255,-1.623780994,34.38293917,1843.772114,0
118652,103.68664,25.5,-30.67134392,-0.01124986,-0.569006233,71.95455453,71.95455453,71.95455453,71.95455453,44.46672015,44.46672015,44.46672015,44.46672015,44.46672015,44.46672015,2026.794,2.36751,1375.01176,269.3052861,736.1561394,635.8879897,524.6039608,-4.775604921,0.013669095,0.013659844,0.013659844,0.013659844,0.013659844,0.013659844,-12.48529244,-2.15951348,35.25763316,1843.362551,0
119291,97.777778,26,-1.554997634,-0.002794964,-0.268110251,64.49921349,64.49921349,64.49921349,64.49921349,44.42638838,44.42638838,44.42638838,44.42638838,44.42638838,44.42638838,505.5825007,2.777778,1211.527781,61.02695603,217.2222335,128.4086247,115.5543151,99999,0.014364023,0.014407342,0.014407342,0.014407342,0.014407342,0.014407342,74.49925156,8.850310084,29.11237762,1834.320019,0
119292,98.333333,26,-13.25964868,-0.007979443,-0.439842566,68.09348972,68.09348972,68.09348972,68.09348972,43.77916629,43.77916629,43.77916629,43.77916629,43.77916629,43.77916629,1819.249469,3,1219.583329,89.64081796,249.6666421,159.5558161,99.15499878,99999,0.015915881,0.015966658,0.015966658,0.015966658,0.015966658,0.015966658,-29.78569656,6.95460114,28.37315615,1839.318082,0
119293,98.888889,26,-34.39301002,-0.0124176,-0.482515557,70.12169547,70.12169547,70.12169547,70.12169547,43.30888825,43.30888825,43.30888825,43.30888825,43.30888825,43.30888825,1643.502017,3,1230.750002,72.86749387,289.5194517,201.2750108,99.15499878,61114.93117,0.01148227,0.011558831,0.011558831,0.011558831,0.011558831,0.011558831,-63.4693887,5.215922072,28.51320439,1841.656332,0
119294,99.444444,26,-35.73456269,-0.013881691,-0.495502649,71.4787218,71.4787218,71.4787218,71.4787218,42.91444471,42.91444471,42.91444471,42.91444471,42.91444471,42.91444471,2358.992157,3,1243.24999,36.64252841,332.5471932,247.5249645,131.9536313,5566.332843,0.012209243,0.012293557,0.012293557,0.012293557,0.012293557,0.012293557,-40.95796882,3.750634422,28.83860071,1842.854654,0
119295,100,26,-32.1281662,-0.012547906,-0.498874528,70.82222176,70.82222176,70.82222176,70.82222176,43.7149992,43.7149992,43.7149992,43.7149992,43.7149992,43.7149992,2638,3,1260,44.65250003,380.0250015,298.0999947,172.9519959,9.778220892,0.014953931,0.01510094,0.01510094,0.01510094,0.01510094,0.01510094,-13.1637001,2.594099998,29.21033478,1843.726257,0
119296,100.55556,26,-29.46184314,-0.009037287,-0.493884187,70.11208322,70.11208322,70.11208322,70.11208322,44.79196187,44.79196187,44.79196187,44.79196187,44.79196187,44.79196187,1415.599999,3,1277.66684,60.95843024,428.2531796,349.3531905,223.9307464,8.424973167,0.006067567,0.006089218,0.006089218,0.006089218,0.006089218,0.006089218,5.777474923,1.727694278,30.52155632,1844.404159,0
119297,101.11111,26,-25.66298763,-0.005218646,-0.48907551,70.93266302,70.93266302,70.93266302,70.93266302,47.16138334,47.16138334,47.16138334,47.16138334,47.16138334,47.16138334,2405.2499,3,1299.33329,107.6885189,478.7804589,402.3804448,275.4099035,11.34018534,0.004641218,0.004607975,0.004607975,0.004607975,0.004607975,0.004607975,23.80489483,1.040145615,31.81741637,1843.665539,0
119298,101.66667,26,-17.33366038,-0.00316178,-0.446771078,72.26351407,72.26351407,72.26351407,72.26351407,48.85166708,48.85166708,48.85166708,48.85166708,48.85166708,48.85166708,1566.001,3,1322.00015,153.6502653,529.7253201,455.7086575,328.8953201,11.02686025,0.012985235,0.012839284,0.012839284,0.012839284,0.012839284,0.012839284,28.54409098,0.446993294,33.05194705,1843.419581,0
119299,102.22222,26,-17.98881102,-0.004048149,-0.417438357,74.78489779,74.78489779,74.78489779,74.78489779,48.95722188,48.95722188,48.95722188,48.95722188,48.95722188,48.95722188,2318.155199,2.88889,1346.9999,197.816486,581.641466,509.735895,382.7524441,3.180429493,0.011850013,0.011703389,0.011703389,0.011703389,0.011703389,0.011703389,15.98038783,-0.114403328,34.37593385,1844.323164,0
119300,102.77778,26,-32.12070798,-0.00687423,-0.465416545,77.87485166,77.87485166,77.87485166,77.87485166,48.27804987,48.27804987,48.27804987,48.27804987,48.27804987,48.27804987,2667.261799,2.61111,1373.80567,240.6779387,634.0029917,564.0141053,437.1695529,-3.919847549,0.009868482,0.009782279,0.009782279,0.009782279,0.009782279,0.009782279,6.654956219,-0.675418931,35.83416441,1844.651231,0
119301,103.33333,26,-35.24799393,-0.009749253,-0.508982717,81.53326446,81.53326446,81.53326446,81.53326446,46.81417549,46.81417549,46.81417549,46.81417549,46.81417549,46.81417549,2334.014001,2.333335,1402.416495,282.2330804,686.8080124,618.5413344,491.8493413,-10.27371527,0.011904997,0.011861368,0.011861368,0.011861368,0.011861368,0.011861368,9.914644953,-1.238539956,37.0876881,1844.403769,0
