Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
115.5,-29,49.66,-25.27751112,-0.006811871,1.29049E-07,-0.384809982,173.7178116,173.7178116,161.0785828,173.7178116,0.000119252,34.94999886,34.94999886,34.09000015,34.09000015,3.9275E-06,199.2499998,0.012351492,2,9.81393E-06,2251.5,2735,1972.5,2338,2289.794434,28.86312866,0.016754213,0.016759063,0.017085638,0.017085638,2.24643E-07,59.07324982,0.001546324,1.78550005,64.37300491,1802.260986,0
115.5,-24,56.838,-9.919476986,0.00451134,6.08179E-08,0.151478788,165.1691055,165.1691055,129.1635742,165.1691055,0.000297351,33.60499954,33.60499954,35.13999939,35.13999939,4.27196E-06,291.2500001,0.004009377,2,2.46107E-06,2801,2247.5,1417.5,1781.5,1735.208008,-98.06561851,0.016297554,0.01629779,0.015552097,0.015552097,9.98826E-09,49.11574936,0.000561663,3.521899939,59.75419235,1794.338501,0
117.5,-32,60.895,-19.03415394,-0.002953341,3.54229E-08,-0.091548702,170.5667725,170.5667725,213.0721436,170.5667725,8.74471E-05,36.63999939,36.63999939,38.6400013,38.6400013,4.12664E-06,233.7499998,0.007282647,1,5.96836E-06,1892,3119.5,2296,2293.5,2359.360474,-16.34878051,0.02147772,0.021443491,0.020197302,0.020197302,1.45534E-08,41.23625183,0.001195051,6.865099907,59.01314545,1798.229004,0
118,-28,46.147,-21.40670586,-0.003170286,4.8866E-08,-0.296918297,213.4898491,213.4898491,233.0219727,213.4898491,0.000166035,36.08750057,36.08750057,32.71500015,32.71500015,8.19216E-06,421.5,0.002032269,1,2.54636E-06,2329.75,2757.75,1848.25,2249.25,2147.621094,45.42032242,0.022174004,0.022158229,0.024738316,0.024738316,2.14707E-08,-101.2490005,0.000625117,3.893399954,84.19273376,1804.843262,0
118,-27.5,47.762,-22.92315769,-0.00427248,6.47258E-08,-0.312320877,221.0281143,221.0281143,236.3242188,221.0281143,0.000147003,36,36,33.15999985,33.15999985,9.38656E-06,448.75,0.005101567,1,2.75061E-06,2385,2711,1793,2194.5,2092.752563,38.77105713,0.022536185,0.022532284,0.024491987,0.024491987,1.8526E-08,-56.92324829,0.001655549,3.640100002,81.42304611,1804.159485,0
119.5,-31.5,54.192,-26.77785921,-0.007223778,3.87121E-08,-0.338030902,188.9439239,188.9439239,202.4078369,188.9439239,0.000198745,35.65000153,35.65000153,34.83000183,34.83000183,4.88174E-06,419.9999998,0.00958912,1,6.97512E-06,1930,3164,2226,2140,2209.155273,-92.57064056,0.022141141,0.022157751,0.022640848,0.022640848,2.52681E-09,-6.118224621,0.000686635,5.475399971,76.20973587,1802.614014,0
120,-33.5,43.022,-44.84492874,-0.018408971,3.95664E-08,-0.700779392,153.293129,153.293129,147.6768799,153.293129,0.000145807,35.91500092,35.91500092,46.79500008,46.79500008,5.98945E-06,300.9999998,0.017574098,5,1.45268E-05,1706.5,3379.5,2447,2014.5,2081.890503,-30.71035767,0.015718467,0.015717121,0.011762541,0.011762541,3.29727E-07,82.37550354,0.001013129,5.90530014,60.22246552,1799.47052,0
120,-23.5,43.587,-4.244715691,0.000741885,6.51985E-08,0.033872978,193.5085144,193.5085144,191.3479004,193.5085144,0.000169003,34.82999992,34.82999992,36.49000168,36.49000168,1.64914E-05,586.75,0.004804847,1,2.45202E-06,2819,2315,1335,1807,1628.346497,124.8109779,0.039408154,0.03938261,0.037621227,0.037621227,4.94418E-08,40.5664978,0.000839939,4.386499882,68.58094025,1800.968018,0
120.5,-27.5,43.221,-18.69411922,-0.005294196,2.40363E-08,-0.27449131,228.5039215,228.5039215,209.6380005,228.5039215,6.52362E-05,38.25,38.25,34.99000168,34.99000168,8.44983E-06,489.4999999,0.002975138,1,0,2373,2749,1778,2247,2070.238464,-71.21045685,0.02278882,0.022772738,0.024785497,0.024785497,5.07806E-09,20.51475143,0.000273454,1.284800053,83.439394,1800.621948,0
121.5,-32,35.709,-40.67709732,-0.017656053,6.15299E-08,-0.8365241,195.4763336,195.4763336,188.9056396,195.4763336,0.000184576,35.33499908,35.33499908,37.34000015,37.34000015,5.16218E-06,383.2500002,0.004596336,1,1.12415E-05,1872.5,3239.5,2281.5,1944,2013.609558,3.381663442,0.019795881,0.019831558,0.018841608,0.018841608,1.19589E-07,-15.42790031,0.000654155,2.551599979,68.81248856,1802.442505,0
