Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
82.5,38.5,36.921,-41.32272625,-0.018923881,1.20E-07,-0.642907217,79.36438751,79.36438751,79.36438751,79.36438751,0.000212493,47.5,47.5,47.5,47.5,2.15E-05,1172.25,0.002830225,2,4.83E-06,2597,1986,873.7000122,646.2000122,391.916748,74.29231262,0.020049149,0.020061369,0.020061369,0.020061369,9.25E-09,48.00424957,0.000995413,4.337900162,41.39231205,1831.879028,0
82.5,41.5,36.986,-82.32172394,-0.041135596,1.85E-07,-0.91586802,137.4218597,137.4218597,137.4218597,137.4218597,9.93E-05,42.40000153,42.40000153,42.40000153,42.40000153,1.03E-05,1000.75,0.001054508,1,2.95E-06,2357,2217,1093,652.2000122,695.3437347,-55.86977768,0.024320936,0.024357426,0.024357426,0.024357426,1.28E-07,-31.2812252,0.001505678,1.755100012,41.74845409,1853.041016,0
82.5,42,51.596,-74.10021973,-0.029771167,2.20E-07,-0.881052081,140.6083298,140.6083298,140.6083298,140.6083298,0.000185476,42.08500099,42.08500099,42.08500099,42.08500099,7.15E-06,1552,0.04344942,1,2.83E-06,2319.5,2258,1130,637.1499939,748.2399902,-45.40179634,0.012590626,0.012620009,0.012620009,0.012620009,2.12E-07,-91.72525024,0.000450945,1.04550004,40.96796226,1857.726501,0
83,40,40.2,-74.43789673,-0.04585816,1.26E-07,-0.832645172,106.3114414,106.3114414,106.3114414,106.3114414,0.000241191,45.64749908,45.64749908,45.64749908,45.64749908,2.70E-05,1004.25,0.001624373,1,2.97E-06,2445.25,2068.25,1023.5,672,555.21698,103.5255413,0.022475769,0.022461895,0.022461895,0.022461895,6.71E-08,99.34550476,0.000574045,4.411799908,44.16106033,1838.760529,0
83,42,43.69,-58.51977539,-0.031234799,2.11E-07,-0.857798944,144.9635544,144.9635544,144.9635544,144.9635544,0.00016734,42.23250103,42.23250103,42.23250103,42.23250103,1.04E-05,1716.25,0.069558257,1,1.88E-06,2289,2229.75,1161.75,597.1000061,759.742981,-60.46856403,0.01954415,0.019623896,0.019623896,0.019623896,2.17E-07,-111.9524994,0.00041392,0.994499981,41.65523148,1858.376495,0
83.5,32.5,95.018,-15.94240522,-0.001088259,6.98E-09,-0.051204734,116.6293945,116.6293945,116.6293945,116.6293945,5.76E-05,57.90999985,57.90999985,57.90999985,57.90999985,3.41E-05,4753,0.021394688,2,5.88E-06,2308,1515,454.2000122,62.70000076,455.4905014,99999,0.005895302,0.00588964,0.00588964,0.00588964,3.47E-09,-0.851200104,0.000377748,-6.838900089,34.00183916,1848.572021,0
83.5,41,41.737,-98.4515419,-0.049821113,7.55E-08,-0.862535894,128.3696747,128.3696747,128.3696747,128.3696747,0.000221122,44.29500008,44.29500008,44.29500008,44.29500008,2.45E-05,948,0.000985953,1,1.78E-06,2336,2119.5,1127.5,590.3500061,674.6219788,-67.47179794,0.02332048,0.023351042,0.023351042,0.023351042,1.52E-08,7.954499722,0.001846259,2.488600016,42.80078506,1850.24353,0
83.5,41.5,44.663,-76.3705492,-0.042537745,1.77E-07,-0.921042798,140.0611877,140.0611877,140.0611877,140.0611877,0.000205996,43.06000137,43.06000137,43.06000137,43.06000137,2.03E-05,955.25,0.00088814,1,1.36E-06,2297,2161,1159,572.4000244,725.141983,-99.96398926,0.023937,0.023980195,0.023980195,0.023980195,1.11E-08,-96.45425415,0.001310492,1.596600056,42.5642004,1855.052002,0
83.5,42,43.438,-54.2895565,-0.031327516,2.11E-07,-0.8361896,149.318779,149.318779,149.318779,149.318779,0.000149204,42.38000107,42.38000107,42.38000107,42.38000107,1.37E-05,1730.75,0.042994687,1,9.42E-07,2258.5,2201.5,1193.5,557.0500183,775.6619873,-75.53533173,0.019454139,0.019532805,0.019532805,0.019532805,1.70E-07,-125.0749969,0.000229836,0.957790017,42.32761574,1859.026489,0
84,38.5,54.042,-43.30247498,-0.020605757,1.71E-07,-0.876717572,73.26215363,73.26215363,73.26215363,73.26215363,0.000100585,49.375,49.375,49.375,49.375,1.42E-05,1179,0.005554607,2,4.56E-06,2511.5,1889.5,963.8000183,645.8499756,474.2599945,57.67875481,0.020142196,0.020122527,0.020122527,0.020122527,3.52E-08,58.20949936,0.000656509,2.545399904,39.23445511,1832.661987,0
