dataset,id,Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography,x,y
train,2514,115.5,-29.5,57.569,-37.77706695,-0.013332739,-0.57973021,172.4389648,172.4389648,154.447876,172.4389648,35.09999847,35.09999847,34.45999908,34.45999908,268.2499995,2,2197,2785,2028,2394,2345.281006,-65.0280304,0.012047099,0.012049919,0.012353611,0.012353611,27.87082481,1.965600014,61.86040115,1801.073975,0,-1408917,6572614
train,2515,115.5,-29,49.66,-25.27751112,-0.006811871,-0.384809982,173.7178116,173.7178116,161.0785828,173.7178116,34.94999886,34.94999886,34.09000015,34.09000015,199.2499998,2,2251.5,2735,1972.5,2338,2289.794434,28.86312866,0.016754213,0.016759063,0.017085638,0.017085638,59.07324982,1.78550005,64.37300491,1802.260986,0,-1418797,6629686
train,2516,115.5,-24,56.838,-9.919476986,0.00451134,0.151478788,165.1691055,165.1691055,129.1635742,165.1691055,33.60499954,33.60499954,35.13999939,35.13999939,291.2500001,2,2801,2247.5,1417.5,1781.5,1735.208008,-98.06561851,0.016297554,0.01629779,0.015552097,0.015552097,49.11574936,3.521899939,59.75419235,1794.338501,0,-1509385,7202944
train,2517,117.5,-32,60.895,-19.03415394,-0.002953341,-0.091548702,170.5667725,170.5667725,213.0721436,170.5667725,36.63999939,36.63999939,38.6400013,38.6400013,233.7499998,1,1892,3119.5,2296,2293.5,2359.360474,-16.34878051,0.02147772,0.021443491,0.020197302,0.020197302,41.23625183,6.865099907,59.01314545,1798.229004,0,-1164195,6322248
train,2518,118,-28,46.147,-21.40670586,-0.003170286,-0.296918297,213.4898491,213.4898491,233.0219727,213.4898491,36.08750057,36.08750057,32.71500015,32.71500015,421.5,1,2329.75,2757.75,1848.25,2249.25,2147.621094,45.42032242,0.022174004,0.022158229,0.024738316,0.024738316,-101.2490005,3.893399954,84.19273376,1804.843262,0,-1185289,6783140
train,2519,118,-27.5,47.762,-22.92315769,-0.00427248,-0.312320877,221.0281143,221.0281143,236.3242188,221.0281143,36,36,33.15999985,33.15999985,448.75,1,2385,2711,1793,2194.5,2092.752563,38.77105713,0.022536185,0.022532284,0.024491987,0.024491987,-56.92324829,3.640100002,81.42304611,1804.159485,0,-1193374,6839916
train,2520,119.5,-31.5,54.192,-26.77785921,-0.007223778,-0.338030902,188.9439239,188.9439239,202.4078369,188.9439239,35.65000153,35.65000153,34.83000183,34.83000183,419.9999998,1,1930,3164,2226,2140,2209.155273,-92.57064056,0.022141141,0.022157751,0.022640848,0.022640848,-6.118224621,5.475399971,76.20973587,1802.614014,0,-980100,6408768
train,2521,120,-33.5,43.022,-44.84492874,-0.018408971,-0.700779392,153.293129,153.293129,147.6768799,153.293129,35.91500092,35.91500092,46.79500008,46.79500008,300.9999998,5,1706.5,3379.5,2447,2014.5,2081.890503,-30.71035767,0.015718467,0.015717121,0.011762541,0.011762541,82.37550354,5.90530014,60.22246552,1799.47052,0,-899475,6190755
train,2522,120,-23.5,43.587,-4.244715691,0.000741885,0.033872978,193.5085144,193.5085144,191.3479004,193.5085144,34.82999992,34.82999992,36.49000168,36.49000168,586.75,1,2819,2315,1335,1807,1628.346497,124.8109779,0.039408154,0.03938261,0.037621227,0.037621227,40.5664978,4.386499882,68.58094025,1800.968018,0,-1043586,7319285
validation,2523,120.5,-27.5,43.221,-18.69411922,-0.005294196,-0.27449131,228.5039215,228.5039215,209.6380005,228.5039215,38.25,38.25,34.99000168,34.99000168,489.4999999,1,2373,2749,1778,2247,2070.238464,-71.21045685,0.02278882,0.022772738,0.024785497,0.024785497,20.51475143,1.284800053,83.439394,1800.621948,0,-941039,6872796
